title:White Rice's Wishlist



//double perks
dimwishlist:item=4248569242&perks=3523296417,469285294#notes:Reconstruction,Demolitionist | Recombination
dimwishlist:item=2553380021&perks=3218042543,1089671869#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=2553380021&perks=4104185692,3218042543#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=2553380021&perks=4104185692,1089671869#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=2553380021&perks=1089671869,3218042543#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=2553380021&perks=1089671869,4104185692#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=3987942396,3218042543#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=3987942396,4104185692#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=3987942396,1089671869#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=691659142,3218042543#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=691659142,4104185692#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=691659142,1089671869#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=2010801679,3218042543#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=2010801679,4104185692#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=2010801679,1089671869#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=3987942396,691659142#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=3987942396,2010801679#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=691659142,3987942396#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=691659142,2010801679#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=2010801679,3987942396#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=2010801679,691659142#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=3218042543,4104185692#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=3218042543,1089671869#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=4104185692,3218042543#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=4104185692,1089671869#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=1089671869,3218042543#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=704410186&perks=1089671869,4104185692#notes:Envious Arsenal,Ambitious Assassin,Pugilist | Elemental Honing,Frenzy,Rolling Storm
dimwishlist:item=1762785663&perks=3523296417,243981275#notes:Repulsor Brace,Demolitionist | Destabilizing Rounds,Attrition Orbs
dimwishlist:item=1762785663&perks=3523296417,2048641572#notes:Repulsor Brace,Demolitionist | Destabilizing Rounds,Attrition Orbs
dimwishlist:item=1762785663&perks=776531651,243981275#notes:Repulsor Brace,Demolitionist | Destabilizing Rounds,Attrition Orbs
dimwishlist:item=1762785663&perks=776531651,2048641572#notes:Repulsor Brace,Demolitionist | Destabilizing Rounds,Attrition Orbs
dimwishlist:item=1762785663&perks=3523296417,776531651#notes:Repulsor Brace,Demolitionist | Destabilizing Rounds,Attrition Orbs
dimwishlist:item=1762785663&perks=776531651,3523296417#notes:Repulsor Brace,Demolitionist | Destabilizing Rounds,Attrition Orbs
dimwishlist:item=1762785663&perks=243981275,2048641572#notes:Repulsor Brace,Demolitionist | Destabilizing Rounds,Attrition Orbs
dimwishlist:item=1762785663&perks=2048641572,243981275#notes:Repulsor Brace,Demolitionist | Destabilizing Rounds,Attrition Orbs
dimwishlist:item=1218113510&perks=923806249,2396489472#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=923806249,3993379141#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=923806249,1164602481#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=2039302152,2396489472#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=2039302152,3993379141#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=2039302152,1164602481#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=923806249,2039302152#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=2039302152,923806249#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=2396489472,3993379141#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=2396489472,1164602481#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=3993379141,2396489472#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=3993379141,1164602481#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=1164602481,2396489472#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=1218113510&perks=1164602481,3993379141#notes:Slideways,Slice | Chain Reaction,Deconstruct
dimwishlist:item=492673102&perks=3523296417,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=3523296417,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=3987942396,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=3987942396,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=1556840489,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=1556840489,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=3523296417,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=3523296417,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=3987942396,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=3987942396,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=1556840489,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=1556840489,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=2396489472,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=492673102&perks=3201496230,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=3523296417,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=3523296417,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=3987942396,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=3987942396,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=1556840489,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=1556840489,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=3523296417,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=3523296417,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=3987942396,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=3987942396,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=1556840489,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=1556840489,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=2396489472,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=1125217994&perks=3201496230,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=3523296417,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=3523296417,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=3987942396,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=3987942396,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=1556840489,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=1556840489,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=3523296417,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=3523296417,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=3987942396,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=3987942396,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=1556840489,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=1556840489,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=2396489472,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2059741649&perks=3201496230,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=3523296417,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=3523296417,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=3987942396,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=3987942396,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=1556840489,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=1556840489,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=3523296417,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=3523296417,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=3987942396,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=3987942396,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=1556840489,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=1556840489,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=2396489472,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=3185151619&perks=3201496230,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=3523296417,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=3523296417,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=3987942396,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=3987942396,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=1556840489,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=1556840489,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=3523296417,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=3523296417,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=3987942396,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=3987942396,1556840489#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=1556840489,3523296417#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=1556840489,3987942396#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=2396489472,3201496230#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=233402416&perks=3201496230,2396489472#notes:Demolitionist,Envious Arsenal,Lead from Gold | Redirection,Chain Reaction
dimwishlist:item=2584830733&perks=3017780555,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3017780555,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3017780555,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3300816228,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3300816228,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3300816228,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3523296417,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3523296417,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3523296417,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3017780555,3300816228#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3017780555,3523296417#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3300816228,3017780555#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3300816228,3523296417#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3523296417,3017780555#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=3523296417,3300816228#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=4293542123,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=4293542123,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=1015611457,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=1015611457,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=2109543898,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2584830733&perks=2109543898,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3017780555,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3017780555,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3017780555,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3300816228,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3300816228,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3300816228,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3523296417,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3523296417,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3523296417,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3017780555,3300816228#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3017780555,3523296417#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3300816228,3017780555#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3300816228,3523296417#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3523296417,3017780555#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=3523296417,3300816228#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=4293542123,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=4293542123,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=1015611457,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=1015611457,2109543898#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=2109543898,4293542123#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=3850168899&perks=2109543898,1015611457#notes:Heal Clip,Demolitionist,Auto-Loading Holster | Incandescent,Kill Clip,Desperate Measures
dimwishlist:item=2480074702&perks=3108830275,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=2480074702&perks=3108830275,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=2480074702&perks=2010801679,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=2480074702&perks=2010801679,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=2480074702&perks=3108830275,2010801679#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=2480074702&perks=2010801679,3108830275#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=2480074702&perks=2396489472,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=2480074702&perks=3592538738,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=568611921&perks=3108830275,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=568611921&perks=3108830275,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=568611921&perks=2010801679,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=568611921&perks=2010801679,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=568611921&perks=3108830275,2010801679#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=568611921&perks=2010801679,3108830275#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=568611921&perks=2396489472,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=568611921&perks=3592538738,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=613334176&perks=3108830275,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=613334176&perks=3108830275,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=613334176&perks=2010801679,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=613334176&perks=2010801679,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=613334176&perks=3108830275,2010801679#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=613334176&perks=2010801679,3108830275#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=613334176&perks=2396489472,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=613334176&perks=3592538738,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=4038592169&perks=3108830275,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=4038592169&perks=3108830275,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=4038592169&perks=2010801679,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=4038592169&perks=2010801679,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=4038592169&perks=3108830275,2010801679#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=4038592169&perks=2010801679,3108830275#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=4038592169&perks=2396489472,3592538738#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=4038592169&perks=3592538738,2396489472#notes:Ambitious Assassin,Unrelenting | Chain Reaction,Wellspring
dimwishlist:item=2936850733&perks=3592538738,776531651#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=2936850733&perks=3592538738,2048641572#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=2936850733&perks=968510818,776531651#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=2936850733&perks=968510818,2048641572#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=2936850733&perks=3592538738,968510818#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=2936850733&perks=968510818,3592538738#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=2936850733&perks=776531651,2048641572#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=2936850733&perks=2048641572,776531651#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=1606497639&perks=3592538738,776531651#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=1606497639&perks=3592538738,2048641572#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=1606497639&perks=968510818,776531651#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=1606497639&perks=968510818,2048641572#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=1606497639&perks=3592538738,968510818#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
dimwishlist:item=1606497639&perks=968510818,3592538738#notes:Wellspring,Envious Assassin | Destabilizing Rounds,Repulsor Brace
